# family_verify_clean started 2026-08-25T08:06:48Z ; verifier sha256 0f38bb0dcdc9eb73ed7bed5bdf763728bfdde78b7da55b2e66002f6eafd3da05 ; sage SageMath version 10.8, Release Date: 2025-12-18
1000032961 | EXCLUDED | 32/32 | 95162785572a773b77b1a8d7eb8910c1764ce7efce4895fa89dc6021faa73fe8 | e9344b6c7312b8849c0f97940fefa7e6fe2b480c496a42dc335dd76197d8a5c3
1000037569 | EXCLUDED | 32/32 | 826d18562329785c29f162826b21224096bd2545d6c0d1bf3108e0387a3a3575 | 1c2c193ccae247d135db88ffec371e952ef08e15c190292d16fb83a959e006c5
1000034881 | EXCLUDED | 32/32 | 1ab199cb9eff23a934d6811e5097af66a68f0efe7855e4242da6b0d9c83d3eae | 4657b1bfd6a6c6bde10b69db8585449b6b9dd86b632e83573bf792674fb948df
1000040257 | EXCLUDED | 32/32 | 343d8a2a03d5ff9560e82b9d34c64c4bf5088306c7dfdc19e43a9dc2a01ed8da | 34f403af49d3f2b7280897237c7e9638dbedffb961f64566091f40c7e89a63c0
1000040641 | EXCLUDED | 32/32 | 5bc2883d7da2c1e7d7a9bf80dd32543519b584e12eef59f45d40571a91cfbb42 | 5820485258e76b222ad7414bcf2e3b0cc46d152911b258ece216286c8c00bacd
1000048193 | EXCLUDED | 32/32 | 5f19160badd3c0c01b83641a3acbae217987f6b4f115296d5b411915a61bebf4 | bade21b556090dc7deeb448e029283ba453d05020cf5b5c04d7e99f307d920bc
1000048961 | EXCLUDED | 32/32 | 4019f7220bc095bbaa676bfb2d08e9fd5f04c554bbee97c2f2d70bcda868aa1d | 3ea3d99b2be9eaa8a23d437573d14a330264228ae0556beeb6e1f68d9afa10a6
1000049473 | EXCLUDED | 32/32 | 7fafb4a162a95f61775fcbb6a85c369f1a1ad31ba28d67da935055ebefe02ddc | 659bfecaea54477f044a55b70ad6be4709d9439fa9960386ae6e89d33e110da8
1000050497 | EXCLUDED | 32/32 | a8203d70cf93553757e9c0f44762682da87d860ae8900ae7de58d87b9e1c94b6 | acfe94ee2d5369df8d4784f8b2e061dc9563199d393155a429dd81171b8fb2c1
1000051009 | EXCLUDED | 32/32 | 549e5a7d45c0f5dee879f8b2ff1e5fe923dd8401475d407037512936c2b07a6a | 7488cd08abfe556aa7e83f6f90a0e63c603ad1ee89d9856ec6bcd08a9c2872f4
1000051649 | EXCLUDED | 32/32 | a13bb31ace5ab183e72159f52f08172bb7976ea0e0501032723e27f995e9ad7b | 8b156cd80465c5461382fad3a95449c06231ae49b2f16c819a92d20a975e7b72
1000055873 | EXCLUDED | 32/32 | 3f633dc9cabce06465f118d3c1dea700042a82584e2460b9fc577d82e3879073 | 828b69a67fd856ce70e00c3e44191879a3c10a7480e3a24747184e90918b8a6d
1000059713 | EXCLUDED | 32/32 | 2c83bdb2e4ab2f61010c925b6a7358d1c034dfa52f1ea626b09e0e4c24401c87 | b15c4939498507dd1fad6a7ba3d1336fc73485715a4f26a108c309214f3d7332
1000063297 | EXCLUDED | 32/32 | 769975f5b84d930a98c008510d1f6a0b2ab4d0f83cefabcccb7acef56846c11c | b4c821def8841b74d60d28b03a5ffe6507127cd9efcb8d3fc96db4f8465470fe
1000060993 | EXCLUDED | 32/32 | c5ec366754b12fd26023fd125d74764bde40228592510c9d3ce6f11261841b50 | 1d1bb628b47dab100b9986f93e6fd02ed74e573db6ee247bca30339251d3d9af
1000068929 | EXCLUDED | 32/32 | 4fdd1ef7b5d70797979f505e32b3e785ea71fae617a557980d97f551ea47c726 | 2aebcf0441b103278f1af8e2d41302918ecefb539e1663a50610f9f7d20a6f25
1000070209 | EXCLUDED | 32/32 | 060534eaaea8f603c9a33aa3616963c681645fec7a7915f10998fecd603cc784 | c267a17f441fc8d93a4ce1016d677772685372c414a1d4b680cdfd06f19d85b8
1000072897 | EXCLUDED | 32/32 | 89b0c65718dcc410b62215bedb672aa154ad23cb5b8f7a8f71d9a3c488b1abfd | 7ca9f3e9839d249ba8c3e37c603efe98f97a004e9410d5bdf7557d764021c119
1000070593 | EXCLUDED | 32/32 | 0d0f2e1c131258ee18634330fd9e5947805b315e77b8d50d2f65f7c69af4d765 | 8c98e75d3299f9f36ccf2783ddc6c748157d1e996161a215002c521a051ba3b9
1000078529 | EXCLUDED | 32/32 | 2be9e2146de23237876817cf8c386f938d01365a8244ad51175ae1181b9ff802 | 188d824f36b2823abf02cede04ee7484a373fd86370cb41a303caffb3b68e0a5
1000081217 | EXCLUDED | 32/32 | b0a2b867eef6a10c772d28e2ad9262a86e20e5879a50dc61993e417f25e7affa | 91cd8f07d7d63f05308f71fa00b5e0ad4e57d71b56ccee13b3b5b740f6b5ba1d
1000082753 | EXCLUDED | 32/32 | 97dc3499503b0226fb695998ea19c4d45ebeed2c4cb86389add15abe7d67de72 | f97ae77cc939cf7e8c35dfe4e44ecc316db0282e4e3406259fd3f701598dca71
1000081601 | EXCLUDED | 32/32 | bebac9ab4b2cbd39ee18e16a5a01f331a70d30c4c470839485307c32137383b5 | 76a95ddf511d16bd847e1e5a360b53e29647071f3c66438125ff521714359e54
1000083649 | EXCLUDED | 32/32 | 90ee2cf10256c9a54fd4efc4e0bcb298a822c18b047d0e780d669554710854b2 | 9f90a36bd394111fd8b01af69a4c61ad30baefdf0ea6a54b4f4df5c457df4616
1000085441 | EXCLUDED | 32/32 | db5129910cf5d7ad9b8e74752d31750b0e828daa71dc1804bb635643c396f2a6 | d319347b00c1c5fe76be9a5d036bbcd1f3e43535eba876fbbc8dd5c2cd17b63c
1000086977 | EXCLUDED | 32/32 | d0bdd078df305a209b1c45b916cb5fc0e02f550199fda63fac6b3490cc6b8439 | 8c7f0a9beb8debc648c71a9d2c1beaeb75793621757609cbc6faa508ca5fa65e
1000085953 | EXCLUDED | 32/32 | e95635c3c3d0376d16cf1ada25842a67c4c9c50016d8a10f0039764d3461c339 | f28ccdb56aa526978ac35246c18fce6b29bae6ae8dcf87cfc767b736b210e0cc
1000088129 | EXCLUDED | 32/32 | a21b717fd8440bcba2f7b4ae052e1248691a54fb7c7c67e5f14db43bcd363e43 | 3580ff694dd3911037153d4521c69dacd2dee01da0d73e7a16f839c53651cc23
1000089281 | EXCLUDED | 32/32 | f12dbb99494ae121f928a409710d04e48ce175360eb6544e3f496c201ffaad0e | fae20f7b4cbec36a2c753683f744a938423e61e37b42fde5f2b8c94bb418fb93
1000090177 | EXCLUDED | 32/32 | 8291f09d00006e22f52791dd1a00cb612df3e6a01d9d1987841bc75921344ad1 | 0feae79d656de76aaaa9163a75d8435f3eb76a1985512fcb93a7861d87e10b2e
1000089793 | EXCLUDED | 32/32 | b5af9aa1e625fe900e670ee16ab50006e3428801b206c76d99bbd2163632ae9b | 46c2a910b5fe675a2b06f76833c0500b7244e10cc08f782d9b01782100097dd3
1000091329 | EXCLUDED | 32/32 | f0932cea6469901a48f443fba62ef82dabfe025ca5e848e1074990903438e172 | a479be981c556f72c320cb3fdd1f7f92540533322701570c80a6aa28e274983c
1000092097 | EXCLUDED | 32/32 | a399375868506cc08538af26d34d040ab1be928fc90f7f49cb3f370429ec7ef1 | 693a3eb2728cfd1b93ff85f34b2cee6b470120664e937be7a02fefa6d2d562c7
1000093249 | EXCLUDED | 32/32 | fdcf2fdd027fe26ab7e3ddc414dfa5616bc493915fa924a97a9b670abac7d979 | e3ef29cd596323100c56f088e0c22dc39d7f059a37e13cfa646c0849768f965f
1000095169 | EXCLUDED | 32/32 | 6809ae03dad21fe6a0cb475c33e1714598cf080e14cb6390057230c2e62539ab | 863ab67f8c73c95c63c730194b654782d96d02b3fb80f3caa73638e68ec7bda4
1000095553 | EXCLUDED | 32/32 | fe155bb4bc6480839e91b4565eebeae17459229d099f772f0d58fd454fe221da | 0e0e37be01a37d166c7678e1b9849fbe5d676e6a78aa45adc883c2e98b44c68f
1000096577 | EXCLUDED | 32/32 | 63641e956c861800893c5d203e1f260d66a747eb1eeb1cb0786b0e3c611143ca | 4cd1454749ae8d4e9198756dab7bd79c917943288720f983a697c3e5397b7efc
1000098241 | EXCLUDED | 32/32 | 05cc9137bfbbd96d8c66c9aa8f4dfb339a1f4eb6bf4c9150f407fe8ea0138086 | 18c80d7fec1b89d8dbf426f2c980c8e8dd0d0cb38c5e4f3cd7da99ecc6ce1ae8
1000098881 | EXCLUDED | 32/32 | c0b646cf6cb3b9d368d0b2e7703f66ec712ca38ba560bf7ba9e62051bd27f1c0 | 9fa34975905e815ff3bb89d89beebc6ce0702fbcae697790d42c303e45a5e227
