# survey started Tue Aug 25 13:55:28 JST 2026 ; primes: 1000000321 1000001857 1000003009 1000003777 1000005953 1000007873 1000008257 1000011329 1000012609 1000014529 1000015553 1000017089 1000018753 1000019393 1000019777 1000020929 1000021697 1000022081 1000023361 1000024769 1000025281 1000025921 1000027201 1000027841 1000000447 1000001087 1000002239 1000003519 1000004927 1000005823 1000008127 1000008511 1000001279 1000001663 1000001791 1000002431 1000003967 1000005631 1000011007 1000011391
FAMILY GEN n=7 l=1000000321 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 11s
FAMILY GEN n=7 l=1000001857 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000003009 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000003777 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000005953 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000007873 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000008257 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000011329 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000012609 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000014529 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000015553 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000017089 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000018753 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 8s
FAMILY GEN n=7 l=1000019393 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000019777 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 8s
FAMILY GEN n=7 l=1000020929 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000021697 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000022081 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 10s
FAMILY GEN n=7 l=1000023361 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 11s
FAMILY GEN n=7 l=1000024769 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000025281 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 8s
FAMILY GEN n=7 l=1000025921 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 7s
FAMILY GEN n=7 l=1000027201 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000027841 : EXCLUSION_CANDIDATE ; PASS 32 / 32 ; OPEN_NEAR 0 ; OPEN_FAR 0 ; 9s
FAMILY GEN n=7 l=1000000447 : INCOMPLETE ; PASS 2 / 32 ; OPEN_NEAR 27 ; OPEN_FAR 3 ; 1170s
FAMILY GEN n=7 l=1000001087 : INCOMPLETE ; PASS 5 / 32 ; OPEN_NEAR 24 ; OPEN_FAR 3 ; 1180s
FAMILY GEN n=7 l=1000002239 : INCOMPLETE ; PASS 0 / 32 ; OPEN_NEAR 27 ; OPEN_FAR 5 ; 889s
FAMILY GEN n=7 l=1000003519 : INCOMPLETE ; PASS 2 / 32 ; OPEN_NEAR 25 ; OPEN_FAR 5 ; 935s
FAMILY GEN n=7 l=1000004927 : INCOMPLETE ; PASS 3 / 32 ; OPEN_NEAR 27 ; OPEN_FAR 2 ; 962s
