  c00 rho=3.86755 T=101435367857176816.0
  c01 rho=1.10244 T=6383.8
  c02 rho=1.27979 T=14630.3
  c03 rho=1.31201 T=47338.3
  c04 rho=1.80197 T=210608.2
  c05 rho=1.26980 T=38668.7
  c06 rho=1.16495 T=8431.8
  c07 rho=11.44189 T=1402429876827169446769680095165593858800166432145408.0
  c08 rho=2.97083 T=155752.2
  c09 rho=2.13297 T=144444.6
  c10 rho=1.69818 T=390953.2
  c11 rho=7.84343 T=19103385395855104.0
  c12 rho=15.99114 T=4000956020764994129388057479086080.0
  c13 rho=1.12220 T=9159.7
  c14 rho=1.12796 T=6276.1
  c15 rho=14.21865 T=4799107234065922796753483720686508806785325455117288632857138757136826068181533787181129339694441549608392073946924119423451136.0
  c16 rho=2.03080 T=12750467.8
  c17 rho=1.81453 T=11491938.0
  c18 rho=1.35375 T=16061.5
  c19 rho=1.32991 T=15671.9
  c20 rho=1.07209 T=5845763.1
  c21 rho=1.05581 T=7347.4
  c22 rho=6.11430 T=1802181.3
  c23 rho=3.05224 T=287754708158.9
  c24 rho=2.13314 T=7624895.7
  c25 rho=3.40797 T=27257381238968.2
  c26 rho=1.50086 T=197339.6
  c27 rho=3.17130 T=88916.4
  c28 rho=97.37781 T=inf
  c29 rho=1.61793 T=90313229293.0
  c30 rho=1.79507 T=4495.9
  c31 rho=4.75482 T=151325122949494.2
ESC l=10000000000003903 : RHO 0 T 0 OPEN 32 worst=97.37781  1102s
   open: [(0, '3.8675', '101435367857176816'), (1, '1.1024', '6384'), (2, '1.2798', '14630'), (3, '1.3120', '47338'), (4, '1.8020', '210608'), (5, '1.2698', '38669'), (6, '1.1649', '8432'), (7, '11.4419', '1402429876827169446769680095165593858800166432145408'), (8, '2.9708', '155752'), (9, '2.1330', '144445'), (10, '1.6982', '390953'), (11, '7.8434', '19103385395855104'), (12, '15.9911', '4000956020764994129388057479086080'), (13, '1.1222', '9160'), (14, '1.1280', '6276'), (15, '14.2186', '4799107234065922796753483720686508806785325455117288632857138757136826068181533787181129339694441549608392073946924119423451136'), (16, '2.0308', '12750468'), (17, '1.8145', '11491938'), (18, '1.3538', '16062'), (19, '1.3299', '15672'), (20, '1.0721', '5845763'), (21, '1.0558', '7347'), (22, '6.1143', '1802181'), (23, '3.0522', '287754708159'), (24, '2.1331', '7624896'), (25, '3.4080', '27257381238968'), (26, '1.5009', '197340'), (27, '3.1713', '88916'), (28, '97.3778', 'inf'), (29, '1.6179', '90313229293'), (30, '1.7951', '4496'), (31, '4.7548', '151325122949494')]
ESC_FAST DONE l=10000000000003903
