comp route  bound(upper)              nonzero_y  exact  verdict
0    RHO   rho<=0.9689822637843766378004563022990090864341860570407413635248295075367878369114 True      True   CERT_RHO
0    T     T<=3055.673868946341546647390567502911516070114763724513014199798270364495172783 True      True   CERT_T
1    RHO   rho<=0.9501516437087063587706474149069830142367521298079602699942186935479575801222 True      True   CERT_RHO
1    T     T<=2240.536864803269070952639196626143101710445741901651561150590721399197800959 True      True   CERT_T
2    RHO   rho<=0.9461974769358049822178011440620060585867389872224709702814680514927383233781 True      True   CERT_RHO
2    T     T<=2115.637434094271054215263387451931902657440893447390850277162904290625981658 True      True   CERT_T
3    RHO   rho<=0.9592332163057868789695632725791675176487744126209611414058377610837796020815 True      True   CERT_RHO
3    T     T<=2754.736065995898656482431899533472008865169562913932686710842028699018652208 True      True   CERT_T
4    RHO   rho<=0.9612194359447929364304236544258084528098687294129144805738868467674995962986 True      True   CERT_RHO
4    T     T<=2830.577890615037143523338518473372991352117446094761529731370150472065033370 True      True   CERT_T
5    RHO   rho<=0.9883408418753596316891212367155273308545215414688041155089302834992676861626 True      True   CERT_RHO
5    T     T<=2189.192618786971337014565645606226697060739449422418057277546823202450669011 True      True   CERT_T
6    RHO   rho<=0.9771826587794624497235441067361382170988013576107424978470204010913288177502 True      True   CERT_RHO
6    T     T<=2454.075268918062440374283356383765281868274861993516689068612619475278967302 True      True   CERT_T
7    RHO   rho<=0.9553479379635245969646436433449206640615608453267778231052245849286162089797 True      True   CERT_RHO
7    T     T<=2583.539531497700832204479796409352279303865738136964835497965094254327837054 True      True   CERT_T
8    RHO   rho<=0.9512774854208534400347485960806345795150909217767438034407772009682494294592 True      True   CERT_RHO
8    T     T<=2393.410407964332212886967491613107506759703529360166193462714582169752783387 True      True   CERT_T
9    RHO   rho<=0.9723293366185985577893775319301257529733108963976981784519097149252926698243 True      True   CERT_RHO
9    T     T<=2758.283272494199529594582510379412657565355686914991882803539416790138878151 True      True   CERT_T
10   RHO   rho<=0.9605482334229181444691623050527077596424844081347349539452125537638612326964 True      True   CERT_RHO
10   T     T<=2689.061293944097869333375885121235266454184540505035910858497888302406976083 True      True   CERT_T
11   RHO   rho<=0.9387180181726863040582967462850073941487590528896009660526156204282387637532 True      True   CERT_RHO
11   T     T<=2837.582997147620542599302618909784526714078989208758161069870251158228448997 True      True   CERT_T
12   RHO   rho<=0.9565946080013653796378427436844059895442093015946556276544748886138152738137 True      True   CERT_RHO
12   T     T<=2802.409380436655069074889364071392783029223893388934656397536053430315293957 True      True   CERT_T
13   RHO   rho<=0.9600447091598930452687853801966480125281040189857154871898330769613138684984 True      True   CERT_RHO
13   T     T<=2155.856747921788259612124464708315288702171046633361818757543546144829851740 True      True   CERT_T
14   RHO   rho<=0.9600447091598930452687853801966480125281040189857154871898330769613138684979 True      True   CERT_RHO
14   T     T<=2488.524028861745797437098625846879063598526525651456810734462011576945247976 True      True   CERT_T
15   RHO   rho<=0.9501516437087063587706474149069830142367521298079602699942186935479575801228 True      True   CERT_RHO
15   T     T<=2270.853347218959514916419293765774851334982399315774885653948112169124612675 True      True   CERT_T
