  c00 rho=2.38765 T=1186811.0
  c01 rho=0.92971 T=2347.3
  c02 rho=1.40323 T=14299.4
  c03 rho=1.09042 T=6288.7
  c04 rho=11.49018 T=124349418934971043814530606851451518976.0
  c05 rho=3.72183 T=26465608.7
  c06 rho=1.12149 T=55420.4
  c07 rho=1.03359 T=4953.0
  c08 rho=1.88746 T=1302370.3
  c09 rho=2.34254 T=7824122974026093.0
  c10 rho=3.66752 T=45468168635.2
  c11 rho=1.03146 T=2760.9
  c12 rho=1.03308 T=3020665.4
  c13 rho=0.89883 T=2099.6
  c14 rho=5.11500 T=4005298645119020.5
  c15 rho=7.09115 T=951127187541772322481298809873567472695240378826427994721136672768.0
  c16 rho=1.36516 T=62548.8
  c17 rho=1.01474 T=3710.0
  c18 rho=1.15594 T=7888950681498554713130401792.0
  c19 rho=0.96218 T=4966.5
  c20 rho=1.01739 T=10512.3
  c21 rho=1.91897 T=1684865.1
  c22 rho=1.00674 T=2447207461280.2
  c23 rho=3.42533 T=39142.9
  c24 rho=2.26656 T=2575.6
  c25 rho=2.67876 T=552854244.0
  c26 rho=2.94637 T=1271833125342798021656576.0
  c27 rho=9.51653 T=570981.9
  c28 rho=4.85243 T=49467.5
  c29 rho=1.19959 T=8493.8
  c30 rho=0.97970 T=3144.3
  c31 rho=1.01820 T=4827.0
ESC l=10000000000000639 : RHO 4 T 3 OPEN 25 worst=11.49018  784s
   open: [(0, '2.3877', '1186811'), (2, '1.4032', '14299'), (3, '1.0904', '6289'), (4, '11.4902', '124349418934971043814530606851451518976'), (5, '3.7218', '26465609'), (6, '1.1215', '55420'), (7, '1.0336', '4953'), (8, '1.8875', '1302370'), (9, '2.3425', '7824122974026093'), (10, '3.6675', '45468168635'), (12, '1.0331', '3020665'), (14, '5.1150', '4005298645119020'), (15, '7.0912', '951127187541772322481298809873567472695240378826427994721136672768'), (16, '1.3652', '62549'), (18, '1.1559', '7888950681498554713130401792'), (20, '1.0174', '10512'), (21, '1.9190', '1684865'), (22, '1.0067', '2447207461280'), (23, '3.4253', '39143'), (25, '2.6788', '552854244'), (26, '2.9464', '1271833125342798021656576'), (27, '9.5165', '570982'), (28, '4.8524', '49468'), (29, '1.1996', '8494'), (31, '1.0182', '4827')]
ESC_FAST DONE l=10000000000000639
